home_team,away_team,market,selection,odd
Spain,Argentina,Resultado del partido SuperCuotas,1,2.45
Spain,Argentina,Resultado del partido SuperCuotas,X,3.05
Spain,Argentina,Resultado del partido SuperCuotas,2,3.5
Spain,Argentina,Resultado del partido,1,2.4
Spain,Argentina,Resultado del partido,X,2.95
Spain,Argentina,Resultado del partido,2,3.4
Spain,Argentina,Levanta la copa,Spain,1.7
Spain,Argentina,Levanta la copa,Argentina,2.22
Spain,Argentina,Método de triunfo,Spain en tiempo normal,2.4
Spain,Argentina,Método de triunfo,Argentina en tiempo normal,3.4
Spain,Argentina,Método de triunfo,Spain en tiempo extra,10.25
Spain,Argentina,Método de triunfo,Argentina en tiempo extra,13.5
Spain,Argentina,Método de triunfo,Spain en penales,9.25
Spain,Argentina,Método de triunfo,Argentina en penales,9.25
Spain,Argentina,Goles totales,Más de 2.5,2.2
Spain,Argentina,Goles totales,Menos de 2.5,1.67
Spain,Argentina,Goles totales,Más de 1.5,1.4
Spain,Argentina,Goles totales,Menos de 1.5,2.95
Spain,Argentina,Goles totales,Más de 3.5,3.9
Spain,Argentina,Goles totales,Menos de 3.5,1.26
Spain,Argentina,SuperCuotas Mejoradas,Anotar en cualquier momento: Lionel Messi,3.6
Spain,Argentina,20% Súper Mejoradas,Tarjetas >3.5 + Córners >8.5 + Goles >2.5,9.24
Spain,Argentina,20% Súper Mejoradas,Mikel Oyarzabal Tiros al Arco 1+ + Goles >2.5 + Resultado 1,5.88
Spain,Argentina,10% Mejoradas,Lionel Messi Tiros al Arco 2+ + Córners >8.5 + Goles >2.5,8.8
Spain,Argentina,10% Mejoradas,Lamine Yamal Anota + Ambos anotan Sí + Resultado 1,10.45
Spain,Argentina,10% Mejoradas,Tarjeta Gavi + Goles >2.5 + Tarjeta Enzo Fernández,26.4
Spain,Argentina,10% Mejoradas,Dibu Martinez Atajadas 3+ + Córners >8.5 + Resultado 1,8.69
